Device_Names,Announced_Date,Features,Device_Url
Gionee M7 Plus Android smartphone, Announced Nov 2017," Features 6.43″  display, Snapdragon 660 chipset, Dual: 16 MP + 8 MP primary camera, 8 MP front camera, 5000 mAh battery, 128 GB storage, 6 GB RAM",https://www.gsmarena.com/gionee_m7_plus-8950.php
Gionee M7 Power Android smartphone, Announced Oct 2017," Features 6.0″  display, Snapdragon 435 chipset, 13 MP primary camera, 8 MP front camera, 5000 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/gionee_m7_power-8879.php
Gionee M7 Android smartphone, Announced Sep 2017," Features 6.01″  display, Helio P30 chipset, Dual: 16 MP + 8 MP primary camera, 8 MP front camera, 4000 mAh battery, 64 GB storage, 6 GB RAM",https://www.gsmarena.com/gionee_m7-8874.php
Gionee X1s Android smartphone, Announced Sep 2017," Features 5.2″  display, MT6737T chipset, 13 MP primary camera, 16 MP front camera, 4000 mAh battery, 16 GB storage, 3 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/gionee_x1s-8871.php
Gionee X1 Android smartphone, Announced Aug 2017," Features 5.0″  display, MT6737 chipset, 8 MP primary camera, 8 MP front camera, 3000 mAh battery, 16 GB storage, 2 GB RAM",https://www.gsmarena.com/gionee_x1-8815.php
Gionee P8 Max Android smartphone, Announced Jun 2017," Features 5.5″  display, MT6737T chipset, 13 MP primary camera, 8 MP front camera, 3150 mAh battery, 32 GB storage, 3 GB RAM, Corning Gorilla Glass (unspecified version)",https://www.gsmarena.com/gionee_p8_max-8499.php
Gionee A1 Lite Android smartphone, Announced Jun 2017," Features 5.3″  display, MT6753 chipset, 13 MP primary camera, 20 MP front camera, 4000 mAh battery, 32 GB storage, 3 GB RAM, Corning Gorilla Glass 3",https://www.gsmarena.com/gionee_a1_lite-8724.php
Gionee S10 Android smartphone, Announced May 2017," Features 5.5″  display, MT6757T Helio P25 chipset, Dual: 16 MP + 8 MP primary camera, Dual: 20 MP + 8 MP front camera, 3450 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/gionee_s10-8648.php
Gionee S10B Android smartphone, Announced May 2017," Features 5.5″  display, MT6755 Helio P10 chipset, Dual: 13 MP (PDAF) + 5 MP primary camera, 16 MP front camera, 3700 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/gionee_s10b-8701.php
Gionee S10C Android smartphone, Announced May 2017," Features 5.2″  display, Snapdragon 427 chipset, 13 MP primary camera, 16 MP front camera, 3100 mAh battery, 32 GB storage, 4 GB RAM",https://www.gsmarena.com/gionee_s10c-8702.php
Gionee M6s Plus Android smartphone, Announced Apr 2017," Features 6.0″  display, Snapdragon 653 chipset, 12 MP primary camera, 8 MP front camera, 6020 mAh battery, 256 GB storage, 6 GB RAM",https://www.gsmarena.com/gionee_m6s_plus-8673.php
Gionee A1 Plus Android smartphone, Announced Feb 2017," Features 6.0″  display, MT6757T Helio P25 chipset, Dual: 13 MP (f/20, 1/3″, 112µm, PDAF) + 5 MP primary camera, 20 MP front camera, 4550 mAh battery, 64 GB storage, 4 GB RAM",https://www.gsmarena.com/gionee_a1_plus-8606.php
Gionee A1 Android smartphone, Announced Feb 2017," Features 5.5″  display, MT6755 Helio P10 chipset, 13 MP primary camera, 16 MP front camera, 4010 mAh battery, 64 GB storage, 4 GB RAM, Corning Gorilla Glass (unspecified version)",https://www.gsmarena.com/gionee_a1-8581.php
Gionee F5 Android smartphone, Announced Jan 2017," Features 5.3″  display, MT6750 chipset, 13 MP primary camera, 8 MP front camera, 4000 mAh battery, 32 GB storage, 4 GB RAM",https://www.gsmarena.com/gionee_f5-8565.php
